Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2022-01-03,4.59028,4.59317,4.57255,4.57664
2022-01-04,4.57613,4.58224,4.56284,4.56521
2022-01-05,4.56525,4.58023,4.56399,4.57844
2022-01-06,4.57844,4.58593,4.55217,4.55491
2022-01-07,4.55491,4.55893,4.54249,4.54532
2022-01-10,4.54497,4.54887,4.5288,4.53995
2022-01-11,4.54004,4.54658,4.53615,4.53701
2022-01-12,4.53669,4.54267,4.51958,4.52599
2022-01-13,4.52577,4.54462,4.52367,4.54269
2022-01-14,4.54115,4.54429,4.53186,4.5359
2022-01-17,4.53583,4.54036,4.51715,4.52564
2022-01-18,4.52554,4.5405,4.5217,4.53486
2022-01-19,4.53592,4.54499,4.518,4.52589
2022-01-20,4.52259,4.52986,4.50954,4.52572
2022-01-21,4.52205,4.54987,4.50989,4.53074
2022-01-24,4.52625,4.58048,4.52238,4.56688
2022-01-25,4.56683,4.59515,4.56454,4.58266
2022-01-26,4.58291,4.59642,4.57945,4.58458
2022-01-27,4.58469,4.59418,4.54656,4.56126
2022-01-28,4.56059,4.59943,4.55819,4.58627
2022-01-31,4.58389,4.60144,4.57772,4.58055
2022-02-01,4.58055,4.58941,4.56412,4.57175
2022-02-02,4.5737,4.57433,4.53686,4.54049
2022-02-03,4.54055,4.54857,4.51927,4.54248
2022-02-04,4.54399,4.56748,4.53507,4.56654
2022-02-07,4.56134,4.56574,4.53316,4.53471
2022-02-08,4.53602,4.5455,4.52373,4.52579
2022-02-09,4.5261,4.53061,4.48862,4.49563
2022-02-10,4.49523,4.50802,4.48295,4.50558
2022-02-11,4.50561,4.57927,4.50188,4.56771
2022-02-14,4.57116,4.58662,4.5289,4.5516
2022-02-15,4.55461,4.559,4.49081,4.49782
2022-02-16,4.49767,4.50447,4.48249,4.50243
2022-02-17,4.50253,4.52932,4.49622,4.52647
2022-02-18,4.52636,4.53914,4.51197,4.53177
2022-02-21,4.52976,4.54464,4.508,4.54396
2022-02-22,4.54392,4.55665,4.53491,4.54763
2022-02-23,4.54744,4.58903,4.52544,4.589
2022-02-24,4.58978,4.72109,4.58672,4.63024
2022-02-25,4.63026,4.67187,4.61749,4.64053
2022-02-28,4.69636,4.71431,4.66861,4.7023
2022-03-01,4.70227,4.80841,4.67672,4.73966
2022-03-02,4.7386,4.83357,4.73096,4.74882
2022-03-03,4.74901,4.81988,4.74412,4.81752
2022-03-04,4.81928,4.90495,4.79372,4.89675
2022-03-07,4.90599,5.00341,4.90592,4.98145
2022-03-08,4.98193,4.99754,4.86058,4.90878
2022-03-09,4.90771,4.91354,4.74584,4.77451
2022-03-10,4.77833,4.85708,4.76845,4.77957
2022-03-11,4.77802,4.80794,4.77116,4.78277
2022-03-14,4.79667,4.79795,4.70826,4.73871
2022-03-15,4.73917,4.75422,4.69425,4.70729
2022-03-16,4.70663,4.71982,4.65972,4.66626
2022-03-17,4.66619,4.69862,4.6612,4.68283
2022-03-18,4.68283,4.73598,4.67917,4.71193
2022-03-21,4.71606,4.71847,4.67709,4.69544
2022-03-22,4.69533,4.70476,4.67301,4.67693
2022-03-23,4.67701,4.72873,4.67637,4.72846
2022-03-24,4.7302,4.79021,4.70499,4.77466
2022-03-25,4.77465,4.7785,4.68253,4.68318
2022-03-28,4.68878,4.73814,4.68676,4.69374
2022-03-29,4.69389,4.71607,4.63261,4.65428
2022-03-30,4.65417,4.6797,4.63151,4.64098
2022-03-31,4.64088,4.66233,4.63223,4.64762
2022-04-01,4.64707,4.65098,4.6324,4.6324
2022-04-04,4.64223,4.65034,4.61606,4.61692
2022-04-05,4.62317,4.65656,4.61705,4.6452
2022-04-06,4.64553,4.66574,4.60655,4.65938
2022-04-07,4.65938,4.66735,4.6262,4.63515
2022-04-08,4.63387,4.64958,4.62712,4.6313
2022-04-11,4.63909,4.6667,4.62481,4.66335
2022-04-12,4.66333,4.66968,4.61898,4.63833
2022-04-13,4.63734,4.64735,4.63378,4.64015
2022-04-14,4.64005,4.65519,4.62938,4.64269
2022-04-18,4.63006,4.63825,4.61233,4.6217
2022-04-19,4.62185,4.65685,4.61273,4.64474
2022-04-20,4.64441,4.65398,4.62516,4.64122
2022-04-21,4.64034,4.65619,4.62664,4.63795
2022-04-22,4.63782,4.65518,4.62921,4.65338
2022-04-25,4.6456,4.66254,4.62667,4.64495
2022-04-26,4.64186,4.7271,4.63441,4.71646
2022-04-27,4.71612,4.72628,4.68685,4.70729
2022-04-28,4.7083,4.7122,4.66866,4.69266
2022-04-29,4.69204,4.69598,4.65345,4.6742
2022-05-02,4.67883,4.70267,4.65238,4.69566
2022-05-03,4.69442,4.70868,4.68634,4.69398
2022-05-04,4.69383,4.70241,4.64147,4.65272
2022-05-05,4.65226,4.69887,4.64519,4.68401
2022-05-06,4.682,4.71808,4.67948,4.71252
2022-05-09,4.70211,4.72085,4.67852,4.69182
2022-05-10,4.69136,4.70022,4.66936,4.68079
2022-05-11,4.68112,4.6848,4.65256,4.67213
2022-05-12,4.67163,4.69294,4.65825,4.66948
2022-05-13,4.66496,4.70093,4.65952,4.69169
2022-05-16,4.68253,4.68574,4.6487,4.6594
2022-05-17,4.65909,4.66136,4.64339,4.65344
2022-05-18,4.65343,4.65953,4.63175,4.64701
2022-05-19,4.64729,4.66193,4.63591,4.64386
2022-05-20,4.64423,4.65055,4.62155,4.62622
2022-05-23,4.62778,4.6324,4.59793,4.61159
2022-05-24,4.6118,4.61605,4.59199,4.59628
2022-05-25,4.59547,4.62381,4.58665,4.60243
2022-05-26,4.60226,4.61442,4.59683,4.60647
2022-05-27,4.60642,4.61301,4.56217,4.5726
2022-05-30,4.57576,4.58876,4.55965,4.58426
2022-05-31,4.58419,4.58862,4.56452,4.58432
2022-06-01,4.58436,4.59802,4.57901,4.58988
2022-06-02,4.58758,4.60023,4.57145,4.57977
2022-06-03,4.57986,4.6005,4.57531,4.5868
2022-06-06,4.58912,4.59762,4.57949,4.58502
2022-06-07,4.58506,4.59405,4.5745,4.57528
2022-06-08,4.57523,4.59103,4.56381,4.58514
2022-06-09,4.58729,4.6096,4.57819,4.60607
2022-06-10,4.60456,4.62271,4.59332,4.61239
2022-06-13,4.60363,4.66656,4.59132,4.65356
2022-06-14,4.65258,4.66547,4.638,4.6579
2022-06-15,4.65774,4.69095,4.65052,4.66098
2022-06-16,4.6606,4.74444,4.66035,4.72961
2022-06-17,4.73085,4.73085,4.67602,4.67739
2022-06-20,4.68352,4.68402,4.63954,4.64863
2022-06-21,4.64965,4.6514,4.62672,4.63534
2022-06-22,4.63559,4.70276,4.63394,4.7004
2022-06-23,4.70018,4.72249,4.69375,4.7054
2022-06-24,4.70612,4.71659,4.68107,4.68862
2022-06-27,4.69321,4.71143,4.67297,4.68413
2022-06-28,4.68488,4.70322,4.67829,4.69745
2022-06-29,4.69832,4.69903,4.66528,4.66994
2022-06-30,4.66976,4.71047,4.64856,4.70085
2022-07-01,4.70171,4.72349,4.68193,4.6883
2022-07-04,4.69145,4.72066,4.6839,4.71238
2022-07-05,4.71143,4.77393,4.70744,4.74909
2022-07-06,4.74969,4.80263,4.74051,4.77631
2022-07-07,4.77546,4.8138,4.76054,4.78516
2022-07-08,4.78311,4.80707,4.75728,4.77882
2022-07-11,4.77889,4.81629,4.768,4.80488
2022-07-12,4.80338,4.85162,4.79878,4.817
2022-07-13,4.81441,4.84724,4.80895,4.83023
2022-07-14,4.83027,4.84341,4.80458,4.81846
2022-07-15,4.81756,4.82227,4.76855,4.78541
2022-07-18,4.77679,4.80083,4.76542,4.78932
2022-07-19,4.78819,4.7979,4.7491,4.75355
2022-07-20,4.75375,4.7913,4.74338,4.76684
2022-07-21,4.7679,4.777,4.7501,4.7628
2022-07-22,4.76296,4.77659,4.73662,4.74385
2022-07-25,4.73813,4.74253,4.69087,4.72332
2022-07-26,4.72265,4.76849,4.70629,4.76098
2022-07-27,4.76103,4.80875,4.74843,4.78074
2022-07-28,4.77971,4.79938,4.75291,4.76273
2022-07-29,4.76485,4.77204,4.72215,4.73988
2022-08-01,4.74274,4.75249,4.70754,4.71678
2022-08-02,4.71638,4.73887,4.70298,4.73172
2022-08-03,4.73173,4.73635,4.68923,4.69785
2022-08-04,4.69831,4.73578,4.69641,4.71249
2022-08-05,4.71087,4.71863,4.70272,4.70837
2022-08-08,4.71295,4.71464,4.69358,4.69744
2022-08-09,4.69698,4.71133,4.69637,4.70061
2022-08-10,4.70098,4.71683,4.6696,4.67682
2022-08-11,4.67715,4.68892,4.66624,4.68587
2022-08-12,4.68587,4.68994,4.65494,4.65934
2022-08-15,4.66219,4.69414,4.65863,4.68439
2022-08-16,4.68381,4.7065,4.66343,4.67588
2022-08-17,4.66636,4.70904,4.66228,4.70384
2022-08-18,4.70411,4.7355,4.69992,4.72639
2022-08-19,4.72821,4.76126,4.72405,4.74855
2022-08-22,4.75123,4.77815,4.74215,4.76219
2022-08-23,4.76474,4.78749,4.75842,4.77171
